isToDelete,wordsAmt,likes,relevance,hoursOfDay
delete,10,0,0.063390516,15
delete,5,0,0.01976873,19
delete,18,0,0.05851631,15
delete,4,0,0.07758116,16
delete,1,0,0.0,15
delete,6,0,0.052215934,19
delete,23,0,0.017197317,15
stay,13,1,0.18245067,10
stay,17,0,0.19318295,18
stay,5,31,0.16368051,8
stay,5,5,0.21370016,15
delete,11,0,0.057259135,15
stay,6,7,0.20900786,14
stay,4,66,0.054141503,13
delete,19,0,0.10241625,18
delete,13,0,0.01953128,19
stay,12,7,0.2278432,15
stay,9,21,0.23866089,13
delete,17,0,0.04113265,15
stay,13,0,0.021128839,19
stay,11,4,0.20444053,10
stay,5,2,0.35211223,9
delete,15,0,0.021510115,16
stay,2,2,0.2268848,14
delete,9,0,0.038176596,19
stay,7,1,0.3856342,13
stay,6,0,0.23514949,15
delete,10,0,0.07600927,16
stay,9,10,0.2306417,16
stay,8,2,0.15465756,13
stay,10,2,0.1485797,14
stay,6,37,0.09464073,13
delete,8,0,0.072874896,15
delete,7,0,0.031068053,15
delete,19,0,0.0060156737,15
delete,1,0,0.0,15
stay,24,44,0.06482845,14
delete,8,0,0.034625866,15
stay,7,20,0.168848,13
stay,8,36,0.22502242,10
stay,59,0,0.14316466,16
stay,2,9,0.22174725,7
delete,3,0,0.036377482,17
delete,10,0,0.039418038,18
delete,32,0,0.025547368,17
stay,6,0,0.15036556,19
stay,3,32,0.393054,18
stay,4,0,0.12300589,17
delete,6,0,0.13835958,18
delete,5,0,0.042141914,18
delete,3,2,0.10940835,15
delete,6,0,0.05533126,17
stay,7,0,0.28502914,16
delete,13,0,0.07852483,19
stay,3,0,0.11117302,18
delete,10,0,0.057556707,16
stay,12,15,0.2174819,8
stay,9,0,0.151241,19
stay,11,0,0.33218917,14
delete,7,0,0.0051407097,15
delete,10,0,0.025978558,16
delete,14,0,0.045451067,19
delete,10,0,0.060744774,17
delete,9,0,0.021344563,15
delete,4,0,0.0,19
stay,14,35,1.3170552,11
stay,7,0,0.47776818,16
delete,12,0,0.01683341,16
stay,20,1,0.19167763,11
delete,2,0,0.059506577,17
delete,1,1,0.0,15
delete,6,0,0.061388835,18
stay,25,95,0.033670872,10
stay,9,9,0.7720106,13
stay,11,0,0.07228653,19
stay,2,0,0.21514669,20
delete,4,0,0.0,19
stay,14,45,0.078453764,8
stay,8,0,0.45725772,18
delete,2,0,0.09674679,15
delete,9,0,0.021385435,15
stay,5,0,0.18476622,14
stay,6,6,0.16001248,20
stay,6,5,0.20600788,14
stay,7,25,0.02927687,13
delete,14,0,0.0444494,19
stay,75,3,0.1820318,14
stay,3,32,0.68890285,17
stay,5,0,0.13812163,18
stay,3,118,0.15219279,9
stay,136,8,0.343318,8
delete,1,0,0.0,18
stay,4,86,0.2670711,14
stay,27,0,0.19756894,14
stay,5,16,0.16351658,10
stay,2,0,0.75083584,17
delete,5,0,0.029498354,19
